ticker,sector,pe_trailing,pe_forward,ps_ratio,pb_ratio,ev_ebitda,peg_ratio,fcf_yield,revenue_growth,earnings_growth,operating_margin,profit_margin,gross_margin,roe,roa,debt_to_equity,current_ratio,dividend_yield
MRNA,Healthcare,,-10.5857,10.0371,2.241,-5.225,,-0.068,-0.298,,-1.264,-1.4516,-1.0576,-0.2887,-0.1451,0.1509,3.293,
MRSH,Financial Services,20.7129,15.4158,3.1705,5.6067,13.218,1.6959,0.0553,0.087,0.057,0.2544,0.1542,0.4363,0.2935,0.0751,1.4005,1.102,2.06
MS,Financial Services,16.24,13.4124,3.7453,2.576,,1.8647,,0.11,0.207,0.3862,0.2399,0.8706,0.1561,0.0129,4.5575,2.053,2.41
MSCI,Financial Services,34.7215,24.7184,12.77,-15.0971,25.138,1.8702,0.0291,0.106,-0.023,0.5594,0.3836,0.8244,,0.1917,,0.899,1.51
MSFT,Technology,23.3705,19.8179,9.0871,7.098,16.016,1.2241,0.0193,0.167,0.598,0.4709,0.3904,0.6859,0.3439,0.1486,0.3154,1.386,0.97
MSI,Technology,34.4823,24.0973,6.2584,30.1815,23.087,2.3985,0.0273,0.123,0.086,0.2781,0.1844,0.518,1.042,0.114,4.0239,1.037,1.1
MTB,Financial Services,12.3624,9.9797,3.4092,1.2113,,1.7655,,0.047,0.211,0.414,0.3104,0.0,0.098,0.0135,,,2.85
MTD,Healthcare,29.9415,24.6142,6.3602,-1085.2196,22.945,2.6747,0.0268,0.081,0.17,0.3071,0.2159,0.5937,,0.2035,,1.137,
MU,Technology,17.2673,3.7163,7.1065,5.7014,11.119,0.2135,0.007,1.963,7.56,0.6762,0.4149,0.5844,0.3982,0.2014,0.149,2.897,0.16
NCLH,Consumer Cyclical,20.5761,7.1575,0.8775,3.8999,9.406,0.4493,-0.1796,0.064,,0.0832,0.0431,0.4262,0.2328,0.0459,7.0303,0.209,
